Date,CampaignID,Impressions,Reach,Spend_IDR
2024-08-25,TV_001,922807,598991,15543207
2024-08-26,TV_001,1497795,1133711,13145747
2024-08-27,TV_001,1088667,919902,13772005
2024-08-28,TV_001,1194019,824367,8769444
2024-08-30,TV_001,1849361,1322603,7322126
2024-08-31,TV_001,1651810,1049014,16877665
2024-09-02,TV_001,708908,594212,8349056
2024-09-03,TV_001,1840838,1540007,10334610
2024-09-04,TV_001,872733,718420,8117220
2024-09-05,TV_001,1643688,1418551,10698896
2024-09-06,TV_001,665947,568676,13212573
2024-09-07,TV_001,1950334,1257917,10767447
2024-09-08,TV_001,1817063,1439739,14667030
2024-09-09,TV_001,877698,617644,10427244
2024-09-10,TV_001,1375087,990414,14084505
2024-09-11,TV_001,730027,566405,14472833
2024-09-12,TV_001,527165,454225,11114542
2024-09-14,TV_001,2166311,1759416,14359809
2024-09-15,TV_001,1621583,1179279,12915460
2024-09-19,TV_001,1977261,1683973,6132380
2024-09-20,TV_001,1804844,1363833,14208418
2024-09-21,TV_001,669463,468999,10788032
2024-09-23,TV_001,1097253,835249,8334991
2024-09-25,TV_001,1606251,1181663,8469532
2024-09-26,TV_001,711285,464409,9524395
2024-09-27,TV_001,1872268,1326910,9189254
2024-09-28,TV_001,597587,477509,13587171
2024-09-29,TV_001,831443,602286,17532843
2024-09-30,TV_001,1253292,975832,14968742
2024-10-01,TV_001,814858,708451,12499604
2024-10-02,TV_001,554824,411468,6906877
2024-10-03,TV_001,1663291,1224160,5657086
2024-10-04,TV_001,1101144,845560,9407627
2024-10-05,TV_001,2061580,1822095,8183137
2024-10-06,TV_001,1685899,1218264,9248936
2024-10-07,TV_001,1573958,1255510,6561525
2024-10-08,TV_001,846612,678617,7219721
2024-10-09,TV_001,1699874,1110975,6041085
2024-10-10,TV_001,649162,436854,7381827
2024-10-14,TV_001,807476,555498,11680851
2024-10-16,TV_001,811829,493559,5855085
2024-10-17,TV_001,1132136,982470,10830415
2024-10-19,TV_001,1229969,955795,9113081
2024-10-20,TV_001,1281235,980931,13489786
2024-10-21,TV_001,1922679,1594058,7944657
2024-10-22,TV_001,1231146,1069085,13684679
2024-10-24,TV_001,903016,688540,5224693
2024-10-25,TV_001,709034,603018,7578876
2024-10-27,TV_001,1044730,632602,8060151
2024-10-29,TV_001,911082,698120,10765164
2024-10-30,TV_001,809631,488449,13297418
2024-10-31,TV_001,1810835,1411046,14000186
2024-11-01,TV_001,763056,667158,11650366
2024-11-02,TV_001,1470133,902793,10597662
2024-11-03,TV_001,717827,560584,14856403
2024-11-04,TV_001,933040,659381,8892956
2024-11-06,TV_001,1214075,970169,10664046
2024-11-09,TV_001,1027405,799859,6374197
2024-11-10,TV_001,1604553,1123626,11956394
2024-11-12,TV_001,1592283,1192058,5751377
2024-11-13,TV_001,869603,735449,9348273
2024-11-15,TV_001,1385346,981229,7721451
2024-11-16,TV_001,811012,717803,17007762
2024-11-17,TV_001,1509779,1301254,8221595
2024-11-20,TV_001,1773793,1197133,11922765
2024-11-21,TV_001,1981502,1750097,7212094
2024-11-22,TV_001,1887872,1234994,12055751
2024-11-23,TV_001,633556,512690,16985859
2024-11-24,TV_001,2250075,1987446,17092754
2024-11-25,TV_001,1766824,1229232,13620426
2024-11-27,TV_001,845013,537572,10962698
2024-11-28,TV_001,1009812,825451,11962887
2024-11-29,TV_001,1309236,1096115,8152903
2024-11-30,TV_001,2103311,1650592,13510696
2024-12-01,TV_001,2075920,1258798,6292809
2024-12-03,TV_001,1698174,1527304,14390676
2024-12-04,TV_001,1102896,820513,12671882
2024-12-05,TV_001,1976125,1641136,13736771
2024-12-06,TV_001,1606373,1078893,9213570
2024-12-07,TV_001,1070487,737450,10255465
2024-12-08,TV_001,605832,543017,6505118
2024-12-09,TV_001,1519470,1011171,8843266
2024-12-12,TV_001,1818677,1606655,9175807
2024-12-13,TV_001,750550,673507,11134113
2024-12-14,TV_001,1695640,1326535,17312781
2024-12-15,TV_001,879510,585882,8768037
2024-12-16,TV_001,1025187,632902,12795844
2024-12-21,TV_001,1882961,1522950,10754904
2024-12-22,TV_001,962159,641900,15789997
2024-12-23,TV_001,1370129,859682,10929399
2024-12-25,TV_001,1833122,1625421,6295149
2024-12-28,TV_001,725052,523876,12610288
2024-12-29,TV_001,1822899,1364919,9117045
2024-12-30,TV_001,1524888,949760,7201832
2025-01-01,TV_001,972028,823700,6864106
2025-01-02,TV_001,944018,642035,8246113
2025-01-05,TV_001,1449757,1177941,11344886
2025-01-07,TV_001,999541,825436,8260985
2025-01-08,TV_001,1265435,770364,9666095
2025-01-10,TV_001,1130683,732940,5845831
2025-01-13,TV_001,651390,511392,3544701
2025-01-15,TV_001,1015705,773963,5318625
2025-01-17,TV_001,918329,816301,8827195
2025-01-18,TV_001,1527923,963742,9514023
2025-01-20,TV_001,666011,541102,3974859
2025-01-21,TV_001,713177,560753,7575193
2025-01-22,TV_001,1372163,1222135,9600757
2025-01-24,TV_001,375816,227984,8807842
2025-01-25,TV_001,1332766,1072862,8304602
2025-01-26,TV_001,1606527,1169318,6498463
2025-01-27,TV_001,1184550,957240,4645366
2025-01-28,TV_001,1064524,847737,4076667
2025-01-29,TV_001,508610,371133,10156044
2025-01-31,TV_001,767474,523620,7969681
2025-02-02,TV_001,680170,451586,11710433
2025-02-03,TV_001,736952,633268,8061667
2025-02-04,TV_001,544801,468849,10277353
2025-02-09,TV_001,441775,387107,5302456
2025-02-10,TV_001,855598,543469,9075761
2025-02-11,TV_001,801821,529328,8298957
2025-02-12,TV_001,961069,654198,3949462
2025-02-14,TV_001,362201,225193,6686541
2025-02-15,TV_001,1127024,774828,8231486
2025-02-16,TV_001,1344170,822478,11425028
2025-02-17,TV_001,604147,541315,4234511
2025-02-18,TV_001,999063,809980,6992217
2025-02-19,TV_001,692784,523269,3568395
2025-02-20,TV_001,384863,239990,5954388
2025-02-21,TV_001,945917,763203,4429010
2025-02-23,TV_001,528765,418216,5606853
2025-02-25,TV_001,404569,308439,10053485
2025-03-02,TV_001,499238,433561,11044530
2025-03-03,TV_001,824934,654233,9221084
2025-03-04,TV_001,435711,269315,8621126
2025-03-05,TV_001,1265372,842439,4616812
2025-03-07,TV_001,1179183,940531,4774825
2025-03-08,TV_001,1270936,849667,8865053
2025-03-11,TV_001,1064239,661594,4896797
2025-03-12,TV_001,835754,719151,5303780
2025-03-15,TV_001,850529,762325,7105853
2025-03-16,TV_001,1101250,805657,11483064
2025-03-18,TV_001,1295736,941373,9613962
2025-03-19,TV_001,1307981,867451,7646452
2025-03-20,TV_001,1119768,716058,7920921
2025-03-23,TV_001,1575459,1030812,6195363
2025-03-25,TV_001,1264287,927470,5230617
2025-03-26,TV_001,972598,631271,6014633
2025-03-27,TV_001,621040,494982,10285886
2025-03-28,TV_001,487417,434262,8914311
2025-03-29,TV_001,491247,319766,6182823
2025-03-30,TV_001,1403376,1023435,7030826
2025-03-31,TV_001,1092116,709998,7820014
2025-04-01,TV_001,1123222,897613,3756699
2025-04-02,TV_001,1195953,927589,9409193
2025-04-04,TV_001,633237,390787,4283437
2025-04-05,TV_001,450007,286489,12067487
2025-04-06,TV_001,784258,589896,12044550
2025-04-07,TV_001,1385961,1232862,4538402
2025-04-08,TV_001,1021075,878508,10162682
2025-04-09,TV_001,863288,690682,7109172
2025-04-10,TV_001,673326,546339,3709815
2025-04-11,TV_001,1368407,859592,8214027
2025-04-12,TV_001,1450781,947570,7927501
2025-04-13,TV_001,1543121,1242173,11240168
2025-04-14,TV_001,1262350,973502,7824930
2025-04-15,TV_001,1074003,862375,10016640
2025-04-16,TV_001,763557,607310,8112198
2025-04-17,TV_001,1399384,859870,8104917
2025-04-19,TV_001,1347230,1037508,11514328
2025-04-22,TV_001,1050973,885291,5789232
2025-04-25,TV_001,476219,363520,9224839
2025-04-26,TV_001,845002,607431,6926520
2025-04-27,TV_001,944297,633872,7463888
2025-04-28,TV_001,426855,333389,5090887
2025-04-29,TV_001,836668,597327,7836432
2025-05-01,TV_001,376924,264741,6854273
2025-05-02,TV_001,959180,729055,6291759
2025-05-03,TV_001,1384180,1128711,10625019
2025-05-05,TV_001,357941,284291,4870445
2025-05-07,TV_001,413280,363823,9989241
2025-05-08,TV_001,860165,582360,4209945
2025-05-09,TV_001,1193177,908900,5651029
2025-05-10,TV_001,1267251,863996,9326803
2025-05-11,TV_001,621237,499683,5223843
2025-05-12,TV_001,1094498,691792,7176143
2025-05-13,TV_001,1361073,1014086,5295939
2025-05-15,TV_001,1014808,898533,3803887
2025-05-16,TV_001,1278416,854524,9234322
2025-05-17,TV_001,898816,765754,9332240
2025-05-19,TV_001,1169551,798151,5158093
2025-05-21,TV_001,450312,354466,8172849
2025-05-22,TV_001,526414,432219,7606259
2025-05-24,TV_001,431043,341641,5004002
2025-05-25,TV_001,682576,489592,8792258
2025-05-26,TV_001,1387174,889084,6977368
2025-05-27,TV_001,799609,651905,6330231
2025-05-28,TV_001,484814,306030,10438791
2025-05-30,TV_001,433390,271171,5419124
2025-06-01,TV_001,676187,477725,6916321
2025-06-02,TV_001,420993,353679,7133418
2025-06-03,TV_001,1274083,1013231,7280083
2025-06-04,TV_001,699652,560313,5770336
2025-06-06,TV_001,1117183,826225,7404483
2025-06-07,TV_001,1558832,1017279,8923293
2025-06-08,TV_001,1049511,660146,5887842
2025-06-09,TV_001,714950,571583,8793143
2025-06-12,TV_001,510036,457883,6295211
2025-06-14,TV_001,1031556,811913,11273079
2025-06-15,TV_001,556714,471993,10544271
2025-06-18,TV_001,626268,443423,5621898
2025-06-19,TV_001,931492,644273,10058704
2025-06-20,TV_001,980624,740080,6630417
2025-06-22,TV_001,1430595,947845,12534127
2025-06-24,TV_001,749654,647245,9222147
2025-06-28,TV_001,889098,579743,4879721
2025-06-29,TV_001,1580549,1252255,7107237
2025-07-01,TV_001,1318895,984052,9534101
2025-07-02,TV_001,533580,400596,8853668
2025-07-03,TV_001,735911,456597,4524617
2025-07-04,TV_001,1361270,1041180,4446164
2025-07-06,TV_001,1013666,741855,6819255
2025-07-07,TV_001,576840,453325,7985784
2025-07-08,TV_001,414417,345718,4564173
2025-07-09,TV_001,1394609,860940,3907146
2025-07-10,TV_001,601139,386336,10385752
2025-07-11,TV_001,456098,368366,5622926
2025-07-12,TV_001,1606011,1355780,8479145
2025-07-13,TV_001,1155854,876267,6772530
2025-07-14,TV_001,1280934,941404,4414972
2025-07-15,TV_001,784836,665746,6074315
2025-07-18,TV_001,855411,518172,6413077
2025-07-19,TV_001,568059,432062,10586434
2025-07-20,TV_001,693750,619354,4301814
2025-07-23,TV_001,925357,681352,4268153
2025-07-25,TV_001,507551,353967,6917687
2025-07-27,TV_001,878830,648430,7357461
2025-08-01,TV_001,809483,547535,8316942
2025-08-03,TV_001,959734,759303,11774800
2025-08-04,TV_001,1018503,798689,9765824
2025-08-05,TV_001,507677,416920,7128856
2025-08-06,TV_001,393756,246270,8261594
2025-08-08,TV_001,362713,321709,3998797
2025-08-10,TV_001,824766,686532,6690898
2025-08-11,TV_001,532814,335416,4796368
2025-08-12,TV_001,628298,380927,8850608
2025-08-13,TV_001,660217,548486,10275020
2025-08-14,TV_001,565971,360193,6173577
2025-08-15,TV_001,1026099,778902,8922436
2025-08-16,TV_001,1366947,940250,12335305
2025-08-18,TV_001,1135476,957809,7576958
2025-08-19,TV_001,705180,619448,4396670
2025-08-20,TV_001,803680,588150,6105169
2025-08-21,TV_001,602727,383606,10101530
2025-08-22,TV_001,1028101,705043,9708474
2025-08-27,TV_001,833566,710698,8785293
2025-08-30,TV_001,1060620,949680,5690401
2025-09-01,TV_001,488315,399341,4653703
2025-09-03,TV_001,1232738,1010648,7040968
2025-09-04,TV_001,883778,609157,7632433
2025-09-05,TV_001,1266989,1002045,8322197
2025-09-07,TV_001,413767,278881,8077082
2025-09-10,TV_001,1190074,786889,6310460
2025-09-11,TV_001,996784,654296,8631499
2025-09-12,TV_001,931937,560624,8986542
2025-09-14,TV_001,646995,574157,10464163
2025-09-15,TV_001,506332,350220,5788521
2025-09-18,TV_001,1108174,959522,6640274
2025-09-19,TV_001,783252,633405,6240679
2025-09-20,TV_001,831757,697228,9404550
2025-09-21,TV_001,983274,779439,9140899
2025-09-22,TV_001,939558,721767,7559886
2025-09-23,TV_001,1195238,813893,8235275
2025-09-25,TV_001,411478,288146,4039407
2025-09-29,TV_001,504825,352599,6581392
2025-09-30,TV_001,581642,453371,4120203
2025-10-04,TV_001,1170684,978335,7738483
2025-10-05,TV_001,1416561,1013053,7643201
2025-10-06,TV_001,543700,385304,7614385
2025-10-07,TV_001,375401,318906,3683376
2025-10-08,TV_001,663661,585484,7126551
2025-10-09,TV_001,1266366,1079679,6507597
2025-10-10,TV_001,831096,619075,9118503
2025-10-11,TV_001,1281486,959754,4877052
2025-10-12,TV_001,1326856,859368,10327869
2025-10-13,TV_001,1138943,907836,4447478
2025-10-15,TV_001,646296,438519,3899383
2025-10-16,TV_001,612023,417145,9843782
2025-10-18,TV_001,481429,359277,10724368
2025-10-19,TV_001,1497023,960750,4726286
2025-10-20,TV_001,714710,621762,6377669
2025-10-21,TV_001,1361564,1045749,8146527
2025-10-23,TV_001,623165,510526,6431553
2025-10-25,TV_001,641702,493853,9695066
2025-10-26,TV_001,1137296,801625,12364844
2025-10-27,TV_001,586582,396113,4558727
2025-10-29,TV_001,470507,403714,7163736
2025-10-31,TV_001,920715,575002,8454845
2025-11-01,TV_001,602672,532587,8271448
2025-11-03,TV_001,782353,622199,6736068
2025-11-04,TV_001,888127,747733,3935911
2025-11-05,TV_001,1175592,776371,3863696
2025-11-06,TV_001,696725,576209,4652944
2025-11-07,TV_001,1271721,1098607,4934168
2025-11-09,TV_001,1591875,1323809,7990410
2025-11-10,TV_001,837127,730616,3956432
2025-11-11,TV_001,460747,367231,6984687
2025-11-13,TV_001,1362700,900922,8929282
2025-11-14,TV_001,1182497,914399,5509965
2025-11-15,TV_001,880634,770138,10902478
2025-11-16,TV_001,1242798,1041438,5526820
2025-11-17,TV_001,1301450,888983,9500254
2025-11-19,TV_001,543436,471809,4914109
2025-11-20,TV_001,812339,637353,4564729
2025-11-21,TV_001,1193783,897202,9676914
2025-11-23,TV_001,1209013,955605,12466526
2025-11-24,TV_001,798864,518199,9673494
2025-11-25,TV_001,903769,737300,7418289
2025-11-27,TV_001,546782,468840,8620475
2025-11-29,TV_001,782077,579793,10166039
2025-12-01,TV_001,868923,737259,6004587
2025-12-02,TV_001,1097614,930550,4716331
2025-12-03,TV_001,499070,351536,5179118
2025-12-04,TV_001,1033704,812780,8741784
2025-12-05,TV_001,844851,755070,9390132
2025-12-06,TV_001,1218984,850279,5260623
2025-12-07,TV_001,613669,525743,4784985
2025-12-08,TV_001,643239,510002,9359287
2025-12-09,TV_001,670576,445124,7088583
2025-12-10,TV_001,1035820,913067,5627624
2025-12-14,TV_001,1497937,1200177,6386409
2025-12-15,TV_001,819408,604811,4276926
2025-12-17,TV_001,1375640,871077,6162803
2025-12-18,TV_001,1126899,986513,3794172
2025-12-19,TV_001,656829,573563,9508391
2025-12-22,TV_001,1113004,769559,10239672
2025-12-24,TV_001,468209,379767,9609276
2025-12-25,TV_001,603988,364640,4175741
2025-12-26,TV_001,978275,674199,5608856
2025-12-27,TV_001,460632,401150,10442822
2025-12-29,TV_001,1286917,843701,7652550
2025-12-30,TV_001,1184307,722902,5176571
2025-12-31,TV_001,1248480,944393,10468062
2024-01-01,TV_002,1398467,887299,13313735
2024-01-02,TV_002,1503800,1276404,14096268
2024-01-04,TV_002,1145641,796316,10174463
2024-01-05,TV_002,1402885,1217363,12738796
2024-01-06,TV_002,1664005,1293779,13285074
2024-01-08,TV_002,656337,469513,10123637
2024-01-09,TV_002,1925796,1502497,11522242
2024-01-11,TV_002,606398,410117,11341040
2024-01-12,TV_002,568473,364963,9724933
2024-01-13,TV_002,1146573,853752,17658392
2024-01-14,TV_002,1059178,701279,13329360
2024-01-15,TV_002,511496,340513,5055057
2024-01-16,TV_002,1008290,847746,6080257
2024-01-17,TV_002,940233,826959,10126677
2024-01-18,TV_002,1425599,904046,5870927
2024-01-19,TV_002,1811333,1354993,10074119
2024-01-22,TV_002,1091864,793292,7747315
2024-01-23,TV_002,1571048,1229144,14076110
2024-01-24,TV_002,1932590,1635666,13237903
2024-01-25,TV_002,576703,390590,11364013
2024-01-26,TV_002,1529884,970476,11037954
2024-01-27,TV_002,1211616,770960,11474838
2024-01-28,TV_002,697488,435270,15014136
2024-01-29,TV_002,1502858,1207698,14417257
2024-01-30,TV_002,515196,407432,10936607
2024-02-01,TV_002,1585959,1008935,13736985
2024-02-03,TV_002,820186,494992,12407609
2024-02-04,TV_002,1413350,1092746,9540488
2024-02-05,TV_002,1337963,940521,6230032
2024-02-07,TV_002,1538739,1121709,13456043
2024-02-08,TV_002,959470,802784,7753811
2024-02-09,TV_002,1733633,1486189,12983803
2024-02-11,TV_002,1579292,1123432,9826401
2024-02-12,TV_002,1532607,1091777,12055858
2024-02-13,TV_002,713891,618964,9305293
2024-02-14,TV_002,538171,427171,6544597
2024-02-15,TV_002,607567,439203,8406041
2024-02-16,TV_002,1408668,999278,11771206
2024-02-17,TV_002,1358152,1095326,17856431
2024-02-18,TV_002,622500,467894,11827076
2024-02-20,TV_002,546433,391462,5389960
2024-02-21,TV_002,1634320,1205404,5233520
2024-02-22,TV_002,674208,597871,14000831
2024-02-23,TV_002,1404414,1190960,13884036
2024-02-25,TV_002,1246856,892317,17533625
2024-02-26,TV_002,731217,560195,10414076
2024-02-27,TV_002,1750474,1281579,12619018
2024-02-28,TV_002,791935,488857,7593348
2024-02-29,TV_002,1949626,1495972,7702476
2024-03-01,TV_002,708795,519697,10804676
2024-03-02,TV_002,1268068,1138921,11866773
2024-03-04,TV_002,1430990,945017,10693773
2024-03-05,TV_002,1213319,925650,5394595
2024-03-06,TV_002,1864181,1522371,14640288
2024-03-07,TV_002,695978,582640,13699691
2024-03-08,TV_002,913651,788597,12942106
2024-03-10,TV_002,2267203,1689116,11552107
2024-03-12,TV_002,928675,613823,8753299
2024-03-14,TV_002,1238488,957578,10112754
2024-03-17,TV_002,1893810,1462132,15930227
2024-03-19,TV_002,1780942,1303196,6092642
2024-03-22,TV_002,1172478,883028,13834647
2024-03-23,TV_002,607975,451757,17116591
2024-03-24,TV_002,1769618,1133140,14672483
2024-03-25,TV_002,1706655,1166717,8587155
2024-03-26,TV_002,513294,461629,14574480
2024-03-27,TV_002,941929,569202,13284692
2024-03-31,TV_002,1901391,1516478,15041135
2024-04-03,TV_002,1231441,767551,5886047
2024-04-04,TV_002,599014,422093,9071064
2024-04-05,TV_002,1921532,1194606,13082352
2024-04-07,TV_002,707587,530822,9594788
2024-04-10,TV_002,1104309,760413,5729018
2024-04-11,TV_002,1705224,1498497,7810044
2024-04-12,TV_002,982243,729739,14061110
2024-04-13,TV_002,2263742,1768091,13685712
2024-04-14,TV_002,787038,682045,13773809
2024-04-15,TV_002,1378797,1085713,9493497
2024-04-16,TV_002,862897,702558,11826172
2024-04-19,TV_002,714313,594740,10201698
2024-04-20,TV_002,1065372,681996,11960345
2024-04-21,TV_002,1866413,1297672,6651984
2024-04-22,TV_002,570277,389414,10111291
2024-04-24,TV_002,505729,340885,13393384
2024-04-26,TV_002,1040350,708601,6018923
2024-04-28,TV_002,2113479,1543146,15467189
2024-04-30,TV_002,633934,511018,14640784
2024-05-01,TV_002,1449067,1175421,8876488
2024-05-02,TV_002,1569569,1255522,6669530
2024-05-07,TV_002,1672735,1326888,6053649
2024-05-08,TV_002,1935199,1451632,8600504
2024-05-09,TV_002,813324,577957,9576996
2024-05-10,TV_002,1651351,1197149,5523550
2024-05-13,TV_002,1208422,1044134,11573534
2024-05-14,TV_002,1411628,972033,11778132
2024-05-15,TV_002,1607896,1116986,11516397
2024-05-16,TV_002,1569810,1035705,8951309
2024-05-18,TV_002,675208,427713,10413431
2024-05-19,TV_002,2016203,1218609,9211112
2024-05-20,TV_002,528991,337131,8373455
2024-05-21,TV_002,1106434,840095,9928645
2024-05-22,TV_002,1196142,1063430,5099238
2024-05-23,TV_002,967795,805397,11775422
2024-05-25,TV_002,791574,478969,17712165
2024-05-28,TV_002,526328,362110,7655828
2024-05-30,TV_002,1057608,634994,8480955
